models,body_avg_cooccurrence,body_min_cooccurrence,in_favor_avg_cooccurrence,in_favor_min_cooccurrence,against_avg_cooccurrence,against_min_cooccurrence,stability_score
deepseek-chat-v3.1 & grok-4-fast & nemotron-nano-9b,0.6934306569343066,0.656934306569343,0.537712895377129,0.5255474452554745,0.5182481751824817,0.4963503649635036,0.4963503649635036
gemma-3-27b & gpt-5-nano & grok-4-fast,0.6009732360097324,0.5912408759124088,0.5571776155717761,0.5109489051094891,0.5279805352798053,0.4963503649635036,0.4963503649635036
deepseek-chat-v3.1 & gpt-5-nano & grok-4-fast,0.6253041362530414,0.5912408759124088,0.5620437956204379,0.5182481751824818,0.51338199513382,0.4963503649635036,0.4963503649635036
deepseek-chat-v3.1 & gemma-3-27b & gpt-5-nano,0.6472019464720195,0.6058394160583942,0.5255474452554745,0.5109489051094891,0.4939172749391727,0.4890510948905109,0.4890510948905109
gpt-5-nano & grok-4-fast & nemotron-nano-9b,0.6447688564476887,0.5912408759124088,0.5888077858880778,0.5474452554744526,0.5182481751824817,0.4890510948905109,0.4890510948905109
deepseek-chat-v3.1 & gpt-5-nano & nemotron-nano-9b,0.6204379562043796,0.5912408759124088,0.5450121654501218,0.5182481751824818,0.5085158150851581,0.4890510948905109,0.4890510948905109
deepseek-chat-v3.1 & gemma-3-27b & grok-4-fast,0.6666666666666666,0.6058394160583942,0.5401459854014599,0.5328467153284672,0.5085158150851581,0.4890510948905109,0.4890510948905109
deepseek-chat-v3.1 & gemma-3-27b & nemotron-nano-9b,0.6545012165450121,0.583941605839416,0.537712895377129,0.5255474452554745,0.4987834549878345,0.4671532846715328,0.4671532846715328
gemma-3-27b & grok-4-fast & nemotron-nano-9b,0.6472019464720195,0.583941605839416,0.5401459854014599,0.5328467153284672,0.5085158150851581,0.4671532846715328,0.4671532846715328
gemma-3-27b & gpt-5-nano & nemotron-nano-9b,0.5936739659367397,0.583941605839416,0.5474452554744526,0.5109489051094891,0.4841849148418491,0.4671532846715328,0.4671532846715328
deepseek-chat-v3.1 & gemma-3-27b & kimi-k2,0.6058394160583942,0.4890510948905109,0.46472019464720193,0.4233576642335766,0.4525547445255474,0.4160583941605839,0.4160583941605839
deepseek-chat-v3.1 & kimi-k2 & nemotron-nano-9b,0.5450121654501215,0.4890510948905109,0.4525547445255474,0.4087591240875912,0.47201946472019457,0.4233576642335766,0.4087591240875912
gemma-3-27b & kimi-k2 & nemotron-nano-9b,0.559610705596107,0.4890510948905109,0.4574209245742092,0.4087591240875912,0.4355231143552311,0.4160583941605839,0.4087591240875912
gemma-3-27b & grok-4-fast & kimi-k2,0.5717761557177616,0.5036496350364964,0.45012165450121655,0.3941605839416058,0.462287104622871,0.4160583941605839,0.3941605839416058
deepseek-chat-v3.1 & grok-4-fast & kimi-k2,0.5547445255474454,0.4890510948905109,0.4525547445255474,0.3941605839416058,0.45985401459854014,0.4306569343065693,0.3941605839416058
grok-4-fast & kimi-k2 & nemotron-nano-9b,0.5815085158150851,0.4890510948905109,0.45012165450121655,0.3941605839416058,0.4574209245742092,0.4233576642335766,0.3941605839416058
gemma-3-27b & gpt-5-nano & kimi-k2,0.559610705596107,0.4671532846715328,0.44038929440389296,0.3868613138686131,0.43795620437956195,0.4014598540145985,0.3868613138686131
deepseek-chat-v3.1 & gpt-5-nano & kimi-k2,0.5231143552311436,0.4671532846715328,0.4428223844282238,0.3868613138686131,0.45012165450121655,0.4014598540145985,0.3868613138686131
gpt-5-nano & grok-4-fast & kimi-k2,0.5206812652068127,0.4671532846715328,0.46958637469586373,0.3868613138686131,0.45985401459854014,0.4014598540145985,0.3868613138686131
gpt-5-nano & kimi-k2 & nemotron-nano-9b,0.5158150851581508,0.4671532846715328,0.462287104622871,0.3868613138686131,0.437956204379562,0.4014598540145985,0.3868613138686131
